wdpaid|name|the_geom
556|Drysdale River|0101000020E61000009E4F3CB85AB15F40304F02752C0F2EC0
557|Cape Arid|0101000020E6100000E66E5263DBD45E40F47DD3AFA5ED40C0
558|Fitzgerald River|0101000020E6100000CC0FA70F32E05D403CF662A48E0341C0
562|Stirling Range|0101000020E61000007CC4C53381795D40F0518BC3243241C0
563|Cape Range|0101000020E6100000FA0FEB1ADD7B5C40A8376F64AA2836C0
564|Frank Hann|0101000020E6100000C9513C6441145E40DC0602B8477040C0
565|Watheroo|0101000020E61000006B556E28B1F55C4030FEF3434B363EC0
566|Cape Le Grand|0101000020E6100000D1506583A98D5E405C56009D33F740C0
570|Yalgorup|0101000020E6100000BC6225ACFEE75C408493BF04B95540C0
571|Stokes|0101000020E6100000827D07C1C8445E40241C2E90C5EA40C0
614|Jasper National Park of Canada|0101000020E6100000646CFF0C7E735DC0748974C3DF664A40
615|Banff National Park of Canada|0101000020E6100000308456260AFC5CC0485E0B246FBE4940
616|Nahanni National Park Reserve of Canada|0101000020E61000003D6A678C2A905FC09CD8014C23D84E40
572|Badgingarra|0101000020E610000036E99BB1ABDB5C40C8FB2F987E713EC0
617|Prince Albert National Park of Canada|0101000020E6100000B0A2AC3E28985AC038370BC0AEFA4A40
618|Riding Mountain National Park of Canada|0101000020E61000005A428F6A2CF658C0BC9B2BE0E4614940
619|Gros Morne National Park of Canada|0101000020E61000003836D9036AD94CC0285B94AE60D14840
620|Pukaskwa National Park of Canada|0101000020E610000032BF1E99617955C024C41B5AA3264840
621|Kootenay National Park of Canada|0101000020E61000001B5AD37D36FF5CC0A880D4C3A3784940
622|Glacier National Park of Canada|0101000020E6100000EE044DDC2E625DC02075AE7473A14940
751|Ogasawara|0101000020E61000009DC3E24473C6614080A3E4AF721D3B40
574|Alexander Morrison|0101000020E61000009774AFC721E55C40C0917A541E0D3EC0
575|Avon Valley|0101000020E6100000AE572E0D690C5D4090BE247CCC9A3FC0
576|Tathra|0101000020E6100000AF104349C3E15C409080AD459DC63DC0
577|Torndirrup|0101000020E610000028F7B52747785D4034CEC7C44C8C41C0
623|Yoho National Park of Canada|0101000020E61000009EE095054E225DC018E98FE7F5B04940
624|Cape Breton Highlands National Park of Canada|0101000020E610000084907B1DC3504EC000E4754B725D4740
626|Waterton Lakes National Park of Canada|0101000020E6100000BF40379EC77E5CC0E0321C46F68C4840
659|Ecrins|0101000020E610000010C3E68D15591940F47C0389496A4640
660|Cévennes|0101000020E61000004485D2F55DE40D40B4E9AB92851F4640
661|Vanoise|0101000020E610000052A852CD3EBF1B40D08AD577A2B24640
579|Yanchep|0101000020E6100000748FEBF48AEB5C4050C56A72BF8B3FC0
580|Drovers Cave|0101000020E61000005D6A561FE1C55C4078A77F25E43B3EC0
639|Bamingui-Bangoran|0101000020E61000002E79CB9FAD22344080545227A0392040
662|Pyrénées|0101000020E6100000B6F51122DE8EBC3FA03B5988B3654540
581|Porongurup|0101000020E61000004A72AB5C657A5D40D08CCB9FAC5841C0
663|Port-Cros|0101000020E61000001ADF42BCFB8F19402880F3336C804540
641|Zakouma|0101000020E610000068815A7E6BAC334030E38F1E96A72540
664|Mercantour|0101000020E61000009455B7989DB81B4038372CCE57154640
586|John Forrest|0101000020E61000008498C08ED5055D40A08E31AADEDE3FC0
607|Bénoué|0101000020E610000002810217FBC82B40D0928A91E8992040
608|Waza|0101000020E610000053FFB4844B582D408057B70008932640
597|Boucle de la Pendjari|0101000020E6100000A6124B2268D8F73F704D10751F702640
601|Nxai Pan|0101000020E610000024CDCBE646CD384090A058CA99EA33C0
602|Pirin|0101000020E610000010886729D26E3740B8493D5F61DF4440
603|Vitosha|0101000020E61000005E4C6086E6403740A8B559F79A454540
604|Rusenski Lom|0101000020E6100000A27D888909243A406475858D9ED44540
